model_name,backend,device,type,tag,config_name,render_mode,model_size(Mb),time(ms),time min(ms),alt time(ms),alt time min(ms),psnr_average,psnr_min,flip_average,flip_max
"bunny",GPU,NVIDIA GeForce RTX 3060,MESH,default,default,default,14.773,3.22,3.15,5.67,5.53,0.0,1000000.0,0.000,-1000000.000
"drago",GPU,NVIDIA GeForce RTX 3060,MESH,default,default,default,84.655,4.09,3.94,6.55,6.31,0.0,1000000.0,0.000,-1000000.000
"budha",GPU,NVIDIA GeForce RTX 3060,MESH,default,default,default,109.188,3.45,3.32,5.81,5.68,0.0,1000000.0,0.000,-1000000.000
"water",GPU,NVIDIA GeForce RTX 3060,MESH,default,default,default,102.998,3.88,3.80,6.22,6.11,0.0,1000000.0,0.000,-1000000.000
"bunny",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,usual,usual_4,default,0.114,2.15,2.07,4.43,4.31,23.8,21.2,0.041,0.055
"drago",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,usual,usual_4,default,0.092,2.04,1.98,4.30,4.18,21.2,17.2,0.057,0.074
"budha",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,usual,usual_4,default,0.046,1.85,1.80,4.12,4.03,21.9,20.6,0.047,0.064
"water",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,usual,usual_4,default,0.115,2.15,2.08,4.46,4.33,18.6,14.2,0.096,0.148
"bunny",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,usual,usual_5,default,0.503,2.30,2.21,4.71,4.53,29.2,27.0,0.021,0.033
"drago",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,usual,usual_5,default,0.439,2.23,2.17,4.59,4.44,25.0,20.9,0.034,0.050
"budha",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,usual,usual_5,default,0.235,1.94,1.91,4.33,4.22,24.6,22.7,0.031,0.042
"water",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,usual,usual_5,default,0.612,2.37,2.30,4.69,4.49,22.5,18.5,0.054,0.091
"bunny",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,usual,usual_6,default,2.123,2.55,2.50,4.95,4.85,34.5,33.1,0.010,0.017
"drago",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,usual,usual_6,default,1.959,2.44,2.36,4.77,4.60,29.7,25.9,0.019,0.029
"budha",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,usual,usual_6,default,1.071,2.12,2.07,4.46,4.29,28.1,26.2,0.019,0.026
"water",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,usual,usual_6,default,2.986,2.47,2.43,4.87,4.74,28.7,23.6,0.025,0.050
"bunny",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,cloud,cloud_4,default,0.114,2.17,2.11,4.60,4.46,26.2,24.4,0.029,0.044
"drago",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,cloud,cloud_4,default,0.097,2.10,2.01,4.44,4.30,23.1,19.8,0.043,0.061
"budha",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,cloud,cloud_4,default,0.051,1.88,1.82,4.16,4.10,23.3,21.8,0.037,0.049
"water",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,cloud,cloud_4,default,0.127,2.16,2.13,4.55,4.41,20.0,18.0,0.068,0.100
"bunny",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,cloud,cloud_5,default,0.506,2.28,2.15,4.66,4.38,30.9,28.9,0.018,0.030
"drago",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,cloud,cloud_5,default,0.452,2.25,2.21,4.65,4.49,27.0,24.0,0.026,0.040
"budha",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,cloud,cloud_5,default,0.245,1.95,1.91,4.36,4.14,26.3,24.6,0.024,0.034
"water",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,cloud,cloud_5,default,0.627,2.25,2.22,4.59,4.54,24.2,21.4,0.040,0.070
"bunny",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,cloud,cloud_6,default,2.087,2.50,2.43,4.83,4.75,33.8,32.1,0.012,0.020
"drago",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,cloud,cloud_6,default,1.931,2.45,2.39,4.82,4.74,31.1,28.6,0.016,0.025
"budha",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,cloud,cloud_6,default,1.080,2.09,2.05,4.37,4.26,29.7,28.1,0.016,0.022
"water",GPU,NVIDIA GeForce RTX 3060,SDF_FRAME_OCTREE,cloud,cloud_6,default,2.935,2.45,2.40,4.79,4.61,29.3,24.8,0.023,0.046
"bunny",GPU,NVIDIA GeForce RTX 3060,SDF_OCTREE_ROT,rotat,rotat_4,default,0.172,2.18,2.12,4.56,4.35,26.7,24.7,0.028,0.043
"drago",GPU,NVIDIA GeForce RTX 3060,SDF_OCTREE_ROT,rotat,rotat_4,default,0.143,2.15,2.09,4.54,4.42,22.9,19.8,0.043,0.060
"budha",GPU,NVIDIA GeForce RTX 3060,SDF_OCTREE_ROT,rotat,rotat_4,default,0.075,1.90,1.84,4.24,4.10,23.1,21.6,0.037,0.050
"water",GPU,NVIDIA GeForce RTX 3060,SDF_OCTREE_ROT,rotat,rotat_4,default,0.188,2.20,2.12,4.57,4.47,19.8,17.4,0.072,0.107
"bunny",GPU,NVIDIA GeForce RTX 3060,SDF_OCTREE_ROT,rotat,rotat_5,default,0.741,2.30,2.25,4.63,4.50,32.3,30.0,0.015,0.027
"drago",GPU,NVIDIA GeForce RTX 3060,SDF_OCTREE_ROT,rotat,rotat_5,default,0.662,2.25,2.21,4.57,4.50,27.0,24.1,0.026,0.039
"budha",GPU,NVIDIA GeForce RTX 3060,SDF_OCTREE_ROT,rotat,rotat_5,default,0.357,1.97,1.91,4.31,4.19,26.3,24.7,0.024,0.034
"water",GPU,NVIDIA GeForce RTX 3060,SDF_OCTREE_ROT,rotat,rotat_5,default,0.917,2.27,2.20,4.59,4.46,24.4,21.5,0.040,0.068
"bunny",GPU,NVIDIA GeForce RTX 3060,SDF_OCTREE_ROT,rotat,rotat_6,default,3.117,2.56,2.48,5.00,4.79,37.2,35.3,0.007,0.014
"drago",GPU,NVIDIA GeForce RTX 3060,SDF_OCTREE_ROT,rotat,rotat_6,default,2.891,2.47,2.39,4.86,4.68,32.3,29.5,0.013,0.021
"budha",GPU,NVIDIA GeForce RTX 3060,SDF_OCTREE_ROT,rotat,rotat_6,default,1.604,2.11,2.04,4.43,4.30,30.1,28.5,0.014,0.020
"water",GPU,NVIDIA GeForce RTX 3060,SDF_OCTREE_ROT,rotat,rotat_6,default,4.389,2.51,2.43,4.79,4.72,30.8,25.9,0.018,0.037
